Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
1,Wilhalmi,Bearse,Bearse County,Dawnwalia,Principality of Dawnwalia,阿诺（人类）,Embergrakecism,capital,29081,7808.24,3407.26,-32.47,100.68,9,17°C,Lisbon (Portugal),capital,port,citadel,walls,plaza,,shanty town,{t1:argent;division:{division:perFess;t:vert;line:invecked};charges:[{charge:wolfHeadErased;t:sable;p:k;t2:sable;size:0.7};{charge:horseHeadCouped;t:or;p:n;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Wilhalmi&population=29081&size=46&seed=1234182160001&river=1&coast=1&farms=0&citadel=1&urban_castle=0&hub=1&plaza=1&greens=1&temple=0&walls=1&shantytown=1&style=natural
2,Genosanil,Wasinzan,Wasinzan Barony,Shemnaselu,Grand Duchy of Shemnaselu,昆雅（精灵）,昆雅（精灵） Druidism,capital,19951,5451.59,2101.16,14.48,15.96,4,28°C,Bangkok (Thailand),capital,port,citadel,walls,plaza,,,{t1:gules;charges:[{charge:crossClechy;t:argent;p:e;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Genosanil&population=19951&size=40&seed=1234182160002&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=1&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural&sea=1.12
3,Razinb,Razinb,Razinb Canton,Digez,Digezan League,尤顿（巨人）,尤顿（巨人） Druidism,capital,10712,8599.62,2470.62,1.2,129.12,1521,20°C,Alexandria (Egypt),capital,,citadel,walls,,,,{t1:or;division:{division:perBendSinister;t:purpure;line:wavy};charges:[{charge:rustre;t:azure;p:jo;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Razinb&population=10712&size=32&seed=1234182160003&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
4,Bothar,Vigkandi,Vigkandi County,Solka,Kingdom of Solka,尤顿（巨人）,尤顿（巨人） Druidism,capital,45208,8558.02,1636.57,31.18,127.63,9,16°C,Dubrovnik (Croatia),capital,port,citadel,walls,plaza,temple,shanty town,{t1:gules;charges:[{charge:caravel;t:or;p:beh;t2:argent;t3:or;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Bothar&population=45208&size=55&seed=1234182160004&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=1&plaza=1&greens=1&temple=1&walls=1&shantytown=1&style=natural&sea=0.33
5,Drayhost,Drayhost,Drayhost Earldom,Eartland,Grand Duchy of Eartland,阿诺（人类）,Embergrakecism,capital,11786,7209.38,3607.56,-39.66,79.15,25,12°C,Paris (France),capital,port,citadel,walls,,,,{t1:argent;division:{division:perFess;t:sable;line:straight};ordinaries:[{ordinary:pallReversed;t:azure;divided:counter}];shield:culture},https://watabou.github.io/city-generator/?name=Drayhost&population=11786&size=33&seed=1234182160005&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=1.51
6,Tolnarg,Tolnarg,Tolnarg County,Tolnarg,Grand Duchy of Tolnarg,尤顿（巨人）,Embergrakecism,capital,14180,8839.39,2877.73,-13.43,137.74,256,27°C,Mogadishu (Somalia),capital,,citadel,walls,,,,{t1:pappellony-vert-argent;ordinaries:[{ordinary:quarter;t:argent}];shield:culture},https://watabou.github.io/city-generator/?name=Tolnarg&population=14180&size=35&seed=1234182160006&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
7,Zel,Zel,Zel County,Srach,Grand Duchy of Srach,阿拉戈（蛛形）,Deities of the Amber Cold,capital,15250,4949.15,1515.57,35.53,-2.1,9,10°C,London (England),capital,port,citadel,walls,plaza,,,{t1:azure;division:{division:perBend;t:argent;line:straight};charges:[{charge:bugleHorn;t:or;p:l;t2:or;size:0.7};{charge:caravel;t:purpure;p:m;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Zel&population=15250&size=36&seed=1234182160007&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural&sea=1.71
8,Vreagab,Voh,Voh Captaincy,Vreagab,Kingdom of Vreagab,狗头人（哥布林）,狗头人（哥布林） Religion,capital,5061,3273.21,1631.44,31.36,-62.34,25,16°C,Dubrovnik (Croatia),capital,port,citadel,walls,,,,{t1:azure;charges:[{charge:helmetCorinthian;t:argent;p:e;t2:argent;t3:or;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Vreagab&population=5061&size=24&seed=1234182160008&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=1&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=0.33
9,Brat,Brat,Brat County,Brat,Principality of Brat,狗头人（哥布林）,Old Gneabligzism,capital,16226,3818.77,1778.49,26.08,-42.73,49,17°C,Lisbon (Portugal),capital,port,citadel,walls,plaza,,,{t1:azure;charges:[{charge:anchor;t:or;p:abc;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Brat&population=16226&size=37&seed=1234182160009&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=1&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural&sea=1.95
10,Zrio,Croi,Croi Earldom,Zrio,Kingdom of Zrio,狗头人（哥布林）,Old Gneabligzism,capital,27763,1990.42,3314.57,-29.13,-108.45,36,20°C,Alexandria (Egypt),capital,port,citadel,walls,plaza,temple,,{t1:masoned-azure-or-small;division:{division:perCross;t:or;line:straight};charges:[{charge:hand;t:argent;p:j;size:0.6};{charge:anchor;t:sable;p:l;size:0.6};{charge:estoile;t:purpure;p:m;size:0.6};{charge:pike;t:or;p:o;size:0.6}];shield:culture},https://watabou.github.io/city-generator/?name=Zrio&population=27763&size=46&seed=1234182160010&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=1&plaza=1&greens=1&temple=1&walls=1&shantytown=0&style=natural&sea=1.79
