Id,State,Infantry,Archers,Cavalry,Artillery,Fleet,Total,Population,Rate,War Alert
9,Brat,21649,19461,6504,443,67,64362,2131337,3.02%,4.73
13,Engai,12016,11130,3753,148,10,32836,6294355,0.52%,1.19
14,Olerin,6594,3737,4430,55,0,19631,4230258,0.46%,0.9
16,Grur,8444,5730,1939,123,0,19036,596282,3.19%,5
15,Kyathlulil,5274,3725,1993,68,4,13929,2455053,0.57%,1.01
5,Eartland,5025,3588,1876,62,4,13261,1142642,1.16%,1.91
8,Vreagab,4575,3818,1505,44,4,12155,2591834,0.47%,1.55
17,Giruzar,4281,2440,2010,45,1,11201,4597821,0.24%,0.46
7,Srach,3053,6086,322,21,4,10351,662395,1.56%,2.02
1,Dawnwalia,3542,2941,1156,62,9,10191,1949616,0.52%,0.84
10,Zrio,3292,2278,1272,42,8,9250,3689428,0.25%,0.52
4,Solka,3095,2460,1062,45,5,8539,2533478,0.34%,0.54
3,Digez,2076,2566,351,36,0,5632,910671,0.62%,1.25
18,Milstar,1835,1340,805,21,2,5153,3154424,0.16%,0.5
2,Shemnaselu,998,721,377,17,5,3109,718133,0.43%,1.06
19,Yethmel,1043,649,538,8,1,2932,1075481,0.27%,0.54
6,Tolnarg,930,1086,171,17,0,2494,993519,0.25%,0.52
20,Karion,621,371,462,9,0,1988,945453,0.21%,0.4
12,Bug,551,684,91,10,3,1797,305179,0.59%,1.2
11,Biok,246,255,55,0,0,611,1434588,0.04%,0.13
