Id,River,Type,Discharge,Length,Width,Basin
230,Oxbrook,River,2767 m³/s,2267 km,6.44 km,Oxbrook
96,Bodgeso,River,1581 m³/s,8924 km,2.12 km,Bodgeso
422,Keatha,River,1419 m³/s,1091 km,4.72 km,Keatha
14,Berolazin,River,1339 m³/s,5176 km,1.64 km,Berolazin
10,Thres,River,1269 m³/s,5128 km,1.48 km,Thres
11,Shathugkiz,River,1244 m³/s,4774 km,1.08 km,Oxbrook
424,Khizohros,River,1036 m³/s,1003 km,4.16 km,Khizohros
39,Namunz,Fork,875 m³/s,5407 km,1.04 km,Keatha
97,Nogkigh,River,678 m³/s,4092 km,1.04 km,Nogkigh
423,Orgugekh,River,668 m³/s,1393 km,2.52 km,Orgugekh
28,Ratal,River,489 m³/s,3261 km,0.64 km,Oxbrook
1,Croila,River,435 m³/s,3931 km,0.8 km,Croila
32,Sinenilran,River,423 m³/s,4848 km,0.72 km,Bodgeso
19,Zaccoz,River,412 m³/s,3690 km,0.84 km,Zaccoz
106,Ynathe,River,409 m³/s,3469 km,0.6 km,Keatha
87,Towbury,Fork,399 m³/s,2150 km,0.48 km,Khizohros
20,Thornhelm,River,357 m³/s,4321 km,0.84 km,Thornhelm
18,Kharic,River,324 m³/s,3542 km,0.72 km,Kharic
143,Kyathtanase,River,322 m³/s,3418 km,0.8 km,Kyathtanase
6,Vrea,Fork,316 m³/s,3251 km,0.52 km,Thres
5,Kinburak,River,306 m³/s,1860 km,0.56 km,Kinburak
107,Shenilhona,River,306 m³/s,2500 km,0.64 km,Shenilhona
68,Stormouth,River,283 m³/s,2440 km,0.68 km,Stormouth
81,Grimegle,River,277 m³/s,2930 km,0.64 km,Grimegle
42,Mudhillhall,River,270 m³/s,861 km,0.48 km,Mudhillhall
103,Nulkug,River,258 m³/s,2199 km,0.4 km,Oxbrook
322,Prean,River,258 m³/s,629 km,0.44 km,Prean
16,Ishzaarm,River,257 m³/s,1836 km,0.52 km,Ishzaarm
110,Kalfondhyr,River,250 m³/s,1193 km,0.52 km,Kalfondhyr
72,Warhampound,River,249 m³/s,3467 km,0.68 km,Warhampound
203,Driorvaq,River,249 m³/s,1119 km,0.32 km,Orgugekh
47,Ef Selion,River,243 m³/s,3553 km,0.72 km,Ef Selion
55,Kellort,River,239 m³/s,2264 km,0.4 km,Keatha
24,Gagalddam,River,230 m³/s,977 km,0.52 km,Gagalddam
135,Clearnyard,River,217 m³/s,1446 km,0.48 km,Clearnyard
164,Celkeh,River,192 m³/s,1467 km,0.44 km,Celkeh
112,Neverch,River,190 m³/s,1101 km,0.48 km,Neverch
70,Addudhera,River,183 m³/s,2243 km,0.44 km,Oxbrook
71,Qalitha,River,183 m³/s,1409 km,0.32 km,Bodgeso
145,Ryasenarius,River,183 m³/s,3377 km,0.76 km,Ryasenarius
133,Cloudwell,River,181 m³/s,2425 km,0.52 km,Cloudwell
44,Adgararak,River,179 m³/s,906 km,0.4 km,Adgararak
15,Nardistand,River,178 m³/s,874 km,0.44 km,Nardistand
90,Crowtown,River,178 m³/s,1653 km,0.48 km,Crowtown
231,Lostspellde,River,172 m³/s,1144 km,0.44 km,Lostspellde
519,Bostabrid,River,170 m³/s,718 km,0.44 km,Bostabrid
285,Ziantietha,Fork,169 m³/s,1001 km,0.36 km,Khizohros
46,Kaccidh,River,167 m³/s,2945 km,0.44 km,Zaccoz
142,Gnok,River,167 m³/s,1269 km,0.4 km,Gnok
22,Brerstuz,River,165 m³/s,2475 km,0.36 km,Oxbrook
204,Dironfallse,River,165 m³/s,1088 km,0.4 km,Dironfallse
8,Theoddan,River,164 m³/s,1413 km,0.4 km,Theoddan
108,Srurd,Fork,162 m³/s,970 km,0.28 km,Thres
199,Gloomber,River,162 m³/s,1512 km,0.44 km,Gloomber
79,Kindustin,River,159 m³/s,566 km,0.28 km,Kindustin
13,Egzo,River,155 m³/s,2013 km,0.32 km,Nogkigh
187,Bosbury,River,152 m³/s,664 km,0.24 km,Bosbury
280,Jornzarki,River,152 m³/s,1165 km,0.32 km,Keatha
136,Gob,River,151 m³/s,1356 km,0.44 km,Gob
99,Khathar,Fork,146 m³/s,1218 km,0.28 km,Berolazin
317,Bayfshear,River,143 m³/s,392 km,0.32 km,Bayfshear
311,Givzieqee,River,142 m³/s,1082 km,0.4 km,Givzieqee
23,Shathar,River,140 m³/s,1997 km,0.32 km,Oxbrook
315,Ulbshas,River,140 m³/s,369 km,0.24 km,Ulbshas
