Id,Route,Group,Length
484,Tranquil route,searoutes,19484 km
432,Bayan Agt route,searoutes,9889 km
479,Inheraddam route,searoutes,9481 km
424,Boulpass route,searoutes,9237 km
239,Chalkan trail,trails,6485 km
494,Halcyon lane,searoutes,6312 km
419,Phaxan route,searoutes,6302 km
463,Rekx route,searoutes,6234 km
412,Szils lane,searoutes,6202 km
22,The Rustic Phax road,roads,5421 km
1,Tolnargan road,roads,5402 km
434,Kharbhar route,searoutes,5267 km
461,Unnamed route,searoutes,5065 km
264,Brat pass,trails,5012 km
456,Stuikan route,searoutes,4765 km
451,Grand lane,searoutes,4733 km
27,Golden pass,trails,4648 km
7,Royal road,roads,4450 km
14,Shadow route,roads,4352 km
482,Idhelman water way,searoutes,4305 km
17,The Misty Everlasting road,roads,4219 km
16,Cerulean route,roads,4159 km
411,Kimornelese passage,searoutes,4108 km
286,Ulbligz pass,trails,4103 km
405,Khizruc lane,searoutes,4075 km
48,Amhand trail,trails,3908 km
35,Harkish path,trails,3753 km
486,Holcairnrunese passage,searoutes,3588 km
0,The Echoing Cerulean route,roads,3566 km
23,Tranquil route,roads,3539 km
320,Flame track,trails,3478 km
21,Radiant road,roads,3425 km
427,Verdant route,searoutes,3195 km
10,The Frosty Wilhalmian road,roads,3062 km
407,Griraram route,searoutes,2982 km
13,Shadowy road,roads,2956 km
198,Idhelman trail,trails,2794 km
371,Unnamed route,trails,2794 km
270,Farnaahx trail,trails,2782 km
311,Shavenshear trail,trails,2709 km
297,Qirmurdan track,trails,2649 km
498,Unnamed route,searoutes,2635 km
500,Tranquil lane,searoutes,2611 km
258,Cragrasp trail,trails,2579 km
429,Astral route,searoutes,2575 km
19,Whispering way,roads,2563 km
74,The Misty Timyrang trail,trails,2542 km
410,The Rustic Crimson water way,searoutes,2530 km
207,Zach pass,trails,2513 km
415,Unnamed route,searoutes,2498 km
9,Mythsan road,roads,2479 km
308,The Rustic Dobgish trail,trails,2472 km
24,Phig highway,roads,2450 km
107,Tlaumenaleanese path,trails,2418 km
18,Shadow road,roads,2340 km
15,Cryshield road,roads,2336 km
267,Rekx trail,trails,2272 km
473,Bothish lane,searoutes,2238 km
464,Dhadog water way,searoutes,2224 km
470,Dragonspicean route,searoutes,2203 km
4,Diragzan road,roads,2171 km
413,The Silent Copper route,searoutes,2148 km
292,Cragrasp trail,trails,2146 km
214,Ranwynese trail,trails,2145 km
5,The Obscure Flame road,roads,2084 km
279,Brian trail,trails,2079 km
72,Thelhasasinese trail,trails,2061 km
2,Whisper road,roads,2050 km
354,Crildan pass,trails,2008 km
465,Tranquil route,searoutes,1975 km
430,Goshakinb route,searoutes,1974 km
29,The Obscure Vorluchan trail,trails,1967 km
11,Sylvan road,roads,1939 km
133,Shatrekhaz track,trails,1842 km
454,Eliemaranese lane,searoutes,1834 km
3,Razinb way,roads,1833 km
330,Givziean trail,trails,1813 km
457,Saintan route,searoutes,1804 km
248,Uzdrodhan pass,trails,1780 km
247,The Shaky Slukexan trail,trails,1770 km
366,Joimtoilm trail,trails,1767 km
361,Coskurt path,trails,1739 km
240,Preanese trail,trails,1737 km
28,Griraram pass,trails,1729 km
380,Vohniots track,trails,1724 km
184,Yeebellunorean trail,trails,1721 km
261,Uzdrodh trail,trails,1715 km
31,Kimornelese trail,trails,1705 km
202,Nuzanese trail,trails,1697 km
36,Kinuguk path,trails,1692 km
167,Garagan path,trails,1673 km
476,Shadowy lane,searoutes,1669 km
129,Drethondhean trail,trails,1659 km
233,Nisierhod trail,trails,1628 km
325,Brybok trail,trails,1603 km
472,Bothish route,searoutes,1587 km
137,Gluthmark trail,trails,1576 km
151,Garagan track,trails,1569 km
134,Nuldean pass,trails,1565 km
450,Eagle route,searoutes,1564 km
289,Eeng pass,trails,1554 km
45,Vornelese path,trails,1553 km
58,Shathargan trail,trails,1548 km
206,Shizsian track,trails,1521 km
302,Sapphire trail,trails,1489 km
351,Qirmurdan trail,trails,1482 km
268,Kalbredh trail,trails,1477 km
423,Unnamed route,searoutes,1451 km
242,Nudh trail,trails,1447 km
284,Qeekorkan trail,trails,1434 km
449,Duzecan lane,searoutes,1411 km
446,The Shaky Grand route,searoutes,1404 km
355,Klearan path,trails,1396 km
475,Shathamunz route,searoutes,1393 km
453,Iron route,searoutes,1382 km
422,Cryshield water way,searoutes,1368 km
489,Divine route,searoutes,1366 km
328,Sylvan trail,trails,1351 km
331,Glaman trail,trails,1344 km
323,Klilm trail,trails,1334 km
97,Freystar pass,trails,1287 km
404,The Silent Amethyst route,searoutes,1277 km
368,The Shrouded Krudhan track,trails,1243 km
83,Jalddam trail,trails,1239 km
340,The Echoing Akhan track,trails,1223 km
319,Scarlet trail,trails,1217 km
104,Freystar trail,trails,1215 km
95,Yulfond trail,trails,1198 km
345,Slofzian pass,trails,1198 km
357,Dhodreran trail,trails,1173 km
313,Givzieqeean pass,trails,1166 km
141,Mosshellsean trail,trails,1160 km
171,Autumnese pass,trails,1158 km
387,Blix track,trails,1150 km
194,Evrarireth pass,trails,1136 km
377,Qirmurd trail,trails,1134 km
265,Cielb trail,trails,1133 km
61,Mathalas path,trails,1119 km
25,The Cracked Brybrinqian road,roads,1102 km
197,Shatharar path,trails,1098 km
55,Brirongarmian track,trails,1090 km
183,Narnelkan trail,trails,1081 km
408,Zelese route,searoutes,1070 km
435,Bugan route,searoutes,1054 km
43,Oadowfalls trail,trails,1045 km
26,Mernaram trail,trails,1031 km
